Team,Stadium,Latitude,Longitude
1. FC Heidenheim,Voith-Arena,48.6685° N,10.1394° E
1. FC Köln,RheinEnergieStadion,50.9336° N,6.8751° E
1899 Hoffenheim,PreZero Arena,49.2383° N,8.8872° E
Bayer Leverkusen,BayArena,51.0382° N,7.0022° E
Bayern München,Allianz Arena,48.2188° N,11.6247° E
Borussia Dortmund,Signal Iduna Park,51.4926° N,7.4519° E
Borussia M'gladbach,Borussia-Park,51.1746° N,6.3854° E
Eintracht Frankfurt,Deutsche Bank Park,50.0686° N,8.6455° E
FC Augsburg,WWK Arena,48.3232° N,10.8856° E
FC Schalke 04,Veltins-Arena,51.5546° N,7.0675° E
FC St. Pauli,Millerntor-Stadion,53.5544° N,9.9678° E
Fortuna Düsseldorf,Merkur Spiel-Arena,51.2616° N,6.7331° E
FSV Mainz 05,Mewa Arena,49.9840° N,8.2241° E
Hamburger SV,Volksparkstadion,53.5871° N,9.8986° E
Hertha BSC,Olympiastadion,52.5147° N,13.2394° E
Holstein Kiel,Holstein-Stadion,54.3486° N,10.1236° E
RB Leipzig,Red Bull Arena,51.3458° N,12.3483° E
SC Freiburg,Europa-Park Stadion,48.0221° N,7.8286° E
SV Darmstadt 98,Merck-Stadion am Böllenfalltor,49.8577° N,8.6724° E
Union Berlin,Stadion An der Alten Försterei,52.4575° N,13.5681° E
VfB Stuttgart,MHPArena,48.7922° N,9.2319° E
VfL Bochum,Vonovia Ruhrstadion,51.4892° N,7.2367° E
VfL Wolfsburg,Volkswagen Arena,52.4319° N,10.8039° E
Werder Bremen,Weserstadion,53.0664° N,8.8375° E
