Team,Stadium,Latitude,Longitude
Ajaccio,Stade François Coty,41.9311° N,8.7767° E
Angers,Stade Raymond Kopa,47.4614° N,0.5306° W
Auxerre,Stade de l'Abbé-Deschamps,47.7867° N,3.5886° E
Clermont Foot,Stade Gabriel Montpied,45.8158° N,3.1217° E
Estac Troyes,Stade de l'Aube,48.3075° N,4.0983° E
Le Havre,Stade Océane,49.4994° N,0.1706° E
Lens,Stade Bollaert-Delelis,50.4328° N,2.8147° E
Lille,Stade Pierre-Mauroy,50.6119° N,3.1304° E
Lorient,Stade du Moustoir,47.7487° N,3.3694° W
Lyon,Groupama Stadium,45.7653° N,4.9819° E
Marseille,Orange Vélodrome,43.2697° N,5.3958° E
Metz,Stade Saint-Symphorien,49.1097° N,6.1592° E
Monaco,Stade Louis II,43.7276° N,7.4156° E
Montpellier,Stade de la Mosson,43.6222° N,3.8119° E
Nantes,Stade de la Beaujoire,47.2556° N,1.5254° W
Nice,Allianz Riviera,43.7053° N,7.1933° E
Paris Saint Germain,Parc des Princes,48.8414° N,2.2531° E
Reims,Stade Auguste-Delaune,49.2467° N,4.0250° E
Rennes,Roazhon Park,48.1075° N,1.7128° W
Saint Etienne,Stade Geoffroy-Guichard,45.4608° N,4.3903° E
Stade Brestois 29,Stade Francis-Le Blé,48.4028° N,4.4569° W
Strasbourg,Stade de la Meinau,48.5603° N,7.7547° E
Toulouse,Stadium de Toulouse,43.5831° N,1.4342° E
