Team,Stadium,Latitude,Longitude
Alaves,Mendizorrotza,42.8371° N,2.6881° W
Almeria,Power Horse Stadium,36.8404° N,2.4352° W
Athletic Club,San Mamés,43.2642° N,2.9494° W
Atletico Madrid,Metropolitano,40.4362° N,3.5996° W
Barcelona,Estadi Olímpic Lluís Companys*,41.3636° N,2.1526° E
Cadiz,Nuevo Mirandilla,36.5028° N,6.2728° W
Celta Vigo,Balaídos,42.2118° N,8.7402° W
Elche,Estadio Manuel Martínez Valero,38.2671° N,0.6628° W
Espanyol,RCDE Stadium,41.3478° N,2.0747° E
Getafe,Coliseum,40.3258° N,3.7147° W
Girona,Montilivi,41.9614° N,2.8281° E
Granada CF,Nuevo Los Cármenes,37.1528° N,3.5956° W
Las Palmas,Estadio Gran Canaria,28.1003° N,15.4571° W
Leganes,Municipal de Butarque,40.3403° N,3.7611° W
Mallorca,Mallorca Son Moix,39.5900° N,2.6300° E
Osasuna,El Sadar,42.7967° N,1.6369° W
Rayo Vallecano,Estadio de Vallecas,40.3919° N,3.6586° W
Real Betis,Benito Villamarín,37.3564° N,-5.9817° W
Real Madrid,Santiago Bernabéu,40.4531° N,3.6883° W
Real Sociedad,Anoeta,43.3014° N,1.9736° W
Sevilla,Ramón Sánchez-Pizjuán,37.3841° N,5.9706° W
Valencia,Mestalla,39.4747° N,0.3583° W
Valladolid,Estadio José Zorrilla,41.6444° N,4.7611° W
Vallecano,Estadio de Vallecas,40.3919° N,3.6586° W
Villarreal,Estadio de la Cerámica,39.9442° N,0.1039° W
