Team,Stadium,Latitude,Longitude
Arsenal,Emirates Stadium,51.5549° N,0.1084° W
Aston Villa,Villa Park,52.5091° N,1.8848° W
Bournemouth,Vitality Stadium,50.7352° N,1.8383° W
Brentford,Gtech Community Stadium,51.4906° N,0.2890° W
Brighton,Amex Stadium,50.8618° N,0.0837° W
Burnley,Turf Moor,53.7891° N,2.2302° W
Chelsea,Stamford Bridge,51.4816° N,0.1911° W
Crystal Palace,Selhurst Park,51.3982° N,0.0854° W
Everton,Goodison Park,53.4389° N,2.9664° W
Fulham,Craven Cottage,51.4749° N,0.2216° W
Ipswich,Portman Road,52.05497° N, 1.145071° E
Leeds United,Elland Road,53.7778° N,1.5722° W
Leicester City,King Power Stadium,52.6203° N,1.1422° W
Liverpool,Anfield,53.4308° N,2.9608° W
Luton Town,Kenilworth Road,51.8841° N,0.4317° W
Manchester City,Etihad Stadium,53.4831° N,2.2004° W
Manchester United,Old Trafford,53.4631° N,2.2913° W
Newcastle United,St James' Park,54.9756° N,1.6217° W
Nottingham Forest,City Ground,52.9400° N,1.1328° W
Sheffield Utd,Bramall Lane,53.3703° N,1.4708° W
Southampton,St Mary's Stadium,50.9058° N,1.3911° W
Tottenham,Tottenham Hotspur Stadium,51.6042° N,0.0662° W
West Ham,London Stadium,51.5383° N,0.0165° E
Wolves,Molineux Stadium,52.5902° N,2.1304° W
