Team,Stadium,Latitude,Longitude
AC Milan,San Siro,45.4781° N,9.1240° E
AS Roma,Stadio Olimpico,41.9341° N,12.4547° E
Atalanta,Gewiss Stadium,45.7092° N,9.6808° E
Bologna,Stadio Renato Dall'Ara,44.4931° N,11.3101° E
Cagliari,Unipol Domus,39.1997° N,9.1364° E
Como,Stadio Giuseppe Sinigaglia,45.8114° N,9.0753° E
Cremonese,Stadio Giovanni Zini,45.1333° N,10.0333° E
Empoli,Stadio Carlo Castellani,43.7261° N,10.9547° E
Fiorentina,Stadio Artemio Franchi,43.7808° N,11.2825° E
Frosinone,Stadio Benito Stirpe,41.6333° N,13.3333° E
Genoa,Stadio Luigi Ferraris,44.4165° N,8.9525° E
Inter,San Siro,45.4781° N,9.1240° E
Juventus,Allianz Stadium,45.1095° N,7.6412° E
Lazio,Stadio Olimpico,41.9341° N,12.4547° E
Lecce,Stadio Via del Mare,40.3606° N,18.2081° E
Monza,U-Power Stadium,45.5847° N,9.2817° E
Napoli,Stadio Diego Armando Maradona,40.8279° N,14.1931° E
Parma,Stadio Ennio Tardini,44.7944° N,10.3381° E
Salernitana,Stadio Arechi,40.6453° N,14.8189° E
Sampdoria,Stadio Luigi Ferraris,44.4165° N,8.9525° E
Sassuolo,Mapei Stadium,44.7147° N,10.6481° E
Spezia,Stadio Alberto Picco,44.1031° N,9.8083° E
Torino,Stadio Olimpico Grande Torino,45.0417° N,7.6500° E
Udinese,Stadio Friuli,46.0816° N,13.2001° E
Venezia,Stadio Pier Luigi Penzo,45.4297° N,12.3664° E
Verona,Stadio Marcantonio Bentegodi,45.4353° N,10.9686° E
